,24259494659.0
00112000000,4700979.0
00250155512,166003.0
00250262710,1220974.0
006112000000,15000.0
006153000000,218899.0
0100000000,6050203630.0
010000000016,83268.0
01000000002,110000.0
01000000003,16650.0
01000000005,3474745.0
01000000006,1688081.0
01000000007,21200.0
0100020129,320000.0
0100049101,18586654.0
0100153978,527600.0
0100915173,2521174.0
0108000000,50636822.0
01080000007,23000.0
01112000000,8286666.0
0112000000,70291758389.0
01120000000,306094.0
01120000001,18000.0
011200000012,1960203.0
01120000002,775076.0
01120000003,353373.0
01120000004,8500.0
01120000005,46850.0
01120000006,3551268.0
01120000007,9185720.0
01120000008,1122172.0
011200000085,4500.0
01120000009,5357068.0
0112150714,1050304.0
0112153978,2623144.0
0112915002,3671997.0
0112915019,42103945.0
0112915063,1010790008.0
0112915066,438515203.0
0112915082,3138539.0
0112915173,42484174.0
0112915405,39224943.0
01129154056,306911.0
01129154057,154707.0
01129154059,5050.0
0112915408,18959601.0
0113150072,15577639.0
011315007216,196455.0
01131500726,1799824.0
01151000000,48000.0
0118033902,332000.0
01180339026,32000.0
01180339027,8000.0
0118033904,297162764.0
0118033908,402330.0
01250154079,14224.0
0134044302,1860264.0
0139209261,1191469.0
0150001001,199197.0
0151000000,16154463.0
01510000006,334297.0
0153000000,649295.0
0156000000,21361.0
0169000000,17173218029.0
0172013040,14261625.0
0172249013,158579491.0
0174020172,555000.0
01740201727,50000.0
0174038298,882422.0
0174300905,1682467.0
0176038204,31729402.0
01760382045,20000.0
0176370002,227346840.0
017637000269,336144.0
0180569010,4876664.0
0180570001,29779500.0
0181381010,16412347.0
01813810106,33340.0
0183000000,1539056.0
0188000000,18496566.0
020112000000,681881.0
02112000000,108380759.0
0250022135,8083600.0
0250150042,22248362.0
025015004217,4800.0
02501500427,1002789.0
0250153002,23638004.0
02501530029,151822.0
0250153033,90572913.0
02501530332,16947.0
02501530336,8500.0
02501530337,48000.0
0250154079,26053073.0
0250154330,19801269.0
0250155512,74832148.0
025015551212,622099.0
025015551213,78400.0
02501555123,622752.0
02501555126,589216.0
0250157510,100696.0
0250158889,724592037.0
02501588890,32837893.0
02501588892,1203856.0
0250158891,1421264.0
0250158895,23399156.0
02501588957,41452.0
0250158900,16231934.0
0250158909,12020707.0
0250158913,21879088.0
02501589137,30750.0
0250158918,27486675.0
02501589180,18171.0
025015891810,277742.0
02501589182,371306.0
02501589187,1880646.0
02501589189,4000.0
0250158932,98429798.0
0250158935,56236893.0
0250158937,5301885.0
0250158938,6009287.0
0250158939,4949952.0
0250158940,1434550.0
0250158941,2104102.0
0250158942,5844807.0
0250158943,65366.0
0250158944,6021223.0
0250158945,244064677.0
0250262430,442077.0
0250262710,3486239569.0
02502627101,545527.0
025026271017,28000.0
02502627102,1169501.0
02502627103,627034.0
02502627105,2480442.0
02502627106,6980142.0
02502627107,1552102.0
0280262710,8037451.0
0293000000,12602400.0
029300000016,252000.0
02930000006,113000.0
03100000000,60000.0
0312000000,12510897.0
0312915408,1573597.0
0380000000,15053065.0
0396000000,16479359.0
039600000008,318055.0
03960000007,2376278.0
04100049101,492000.0
04250262710,346433.0
05112000000,1491336.0
05112915405,157525.0
05650262710,49337325.0
060108000000,66150.0
06100000000,608324.0
06112000000,438063.0
0650000000,72637583.0
0650153002,1021069.0
0650154079,1879311.0
0650155512,3720692.0
0650158889,46580687.0
0650158932,10000.0
0650262710,600043677.0
07100000000,411750.0
07112000000,183998.0
07250153033,134152.0
07250158889,49415.0
07250158938,663811.0
07250158942,411349.0
07250158945,48014947.0
07250262710,67535.0
08112000000,3601.0
08176370002,678538.0
100000000,127082909.0
100020129,80000.0
100049101,1130908.0
10100000000,299051.0
10112000000,13418632.0
10112915405,42514.0
10250153002,2000.0
10250262710,221618.0
106112000000,37152232.0
10650262710,8000.0
107250158932,521324.0
108000000,5109574.0
112000000,5254110878.0
112915002,5848.0
112915019,334984.0
112915063,30773174.0
112915066,140000.0
112915405,11919299.0
112915408,4389731.0
120250262710,1443130.0
130112000000,4275.0
130250153033,3900.0
150001001,48588.0
150112000000,2905.0
151000000,1147000.0
16100000000,73000.0
16151000000,1133985.0
16153000000,557099.0
169000000,3086120857.0
170112000000,595211.0
170250153033,14685.0
170250155512,35830.0
170250158913,18795.0
170250262710,237145.0
1710250158918,203977.0
172249013,8803041.0
176038204,189000.0
176370002,13314000.0
181381010,2543468.0
188000000,629269.0
200250155512,188204.0
20100000000,9950.0
20112000000,1760534.0
20112915405,116960.0
20250158889,103228.0
20250158945,29103.0
20250262710,347565.0
2100001588,934717.0
21000015886,537094.0
2100001617,2610000.0
210250262710,33559274.0
250022135,898000.0
250150042,7200.0
250153002,7399425.0
250153033,2917600.0
250154079,3155142.0
250155512,3612689.0
250158889,12582860.0
250158895,179248.0
250158909,3248829.0
250158913,1678108.0
250158918,1444857.0
250158932,7369392.0
250158935,486285.0
250158937,351211.0
250158941,42101.0
250158944,46947.0
250158945,3291496.0
250262710,246709274.0
30100000000,315800.0
30112000000,3989597.0
30250153033,598319.0
312000000,378497.0
31901107,0.0
330100000000,4650.0
336153000300,15682.0
33900803,0.0
390250262710,642879.0
396000000,659966.0
40112000000,111047.0
40172013040,14261625.0
40250154079,202934.0
40250158945,44548.0
40250262710,935918.0
402502627107,369999.0
420112000000,45239.0
42100001588,80591.0
46100000000,722510.0
46151000000,48971.0
46153000300,3993733.0
46153000400,73289.0
50100000000,54650.0
50112000000,153183.0
501120000006,270000.0
501120000007,186635.0
50250153033,495000.0
50250158889,35206.0
50250262710,2038238.0
50396000000,359711.0
5270250153033,3600.0
56151000000,210418.0
60100000000,3360186.0
60108000000,22050.0
60112000000,32699311.0
60113150072,622824.0
60151122883,461335.0
60172013040,14261625.0
60250153033,1198523.0
60250158918,220000.0
60250262710,59123.0
60650155512,50000.0
6100000000,312227344.0
610000000015,75000.0
6100000000201,513058.0
61000000003,49450.0
610000000035,20000.0
61000000005,585699.0
61000000007,270000.0
6151000000,60870200.0
61510000001,1239686.0
61510000006,5340690.0
6151001750,2359952.0
6153000000,23930931.0
61530000002,1035839.0
61530000009,341258.0
6153000300,11025281.0
61530003009,7081.0
6153000400,11058052.0
61530004007,533367.0
6174025305,71325.0
630250155512,225204.0
650153033,3051787.0
650154079,62789.0
650154157,1175269.0
650155512,32000.0
650262710,478636655.0
66100000000,42000.0
66153000000,3990722.0
700112000000,277707.0
70100000000,1059565.0
70100049101,1231148.0
70108000000,208646.0
70112000000,107355404.0
701120000006,15000.0
70112915405,42000.0
70174038298,60842.0
70176370002,126995.0
70250150042,1998911.0
70250153033,14240.0
70250155512,1294790.0
70250158889,16046193.0
70250158895,5250.0
70250158918,588804.0
70250158932,204824.0
70250158935,1078025.0
70250158945,211935.0
70250262710,914653.0
756151001750,74512.0
76100000000,205433.0
76151000000,13449.0
76151001750,56279.0
76153000300,13568.0
770250158918,19000.0
80100000000,10272168.0
80112000000,58781.0
80250262710,368718.0
90112000000,598319.0
90250262710,448668.0
92100001617,100000.0
